TIMESTAMP: 7, UE_ID: 269, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -106.94, RSRP_TARGET: -87.75, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.68, SINR_TARGET: 21.20, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 7, UE_ID: 285, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -107.59, RSRP_TARGET: -82.07, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -7.03, SINR_TARGET: 27.12, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 7, UE_ID: 288, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -105.87, RSRP_TARGET: -83.70, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.29, SINR_TARGET: 29.38, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 7, UE_ID: 294, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -106.12, RSRP_TARGET: -83.03, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -8.81, SINR_TARGET: 27.19, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 7, UE_ID: 297, CELL_SOURCE_ID: 1, CELL_TARGET_ID: 2, RSRP_SOURCE: -99.34, RSRP_TARGET: -78.86, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -0.94, SINR_TARGET: 28.86, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 8, UE_ID: 22, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 3, RSRP_SOURCE: -93.57, RSRP_TARGET: -66.68, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 13.67, SINR_TARGET: 41.75, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 8, UE_ID: 78, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 3, RSRP_SOURCE: -90.59, RSRP_TARGET: -68.81, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 15.89, SINR_TARGET: 39.70, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 8, UE_ID: 197, CELL_SOURCE_ID: 15, CELL_TARGET_ID: 3, RSRP_SOURCE: -109.25, RSRP_TARGET: -68.57, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: -10.41, SINR_TARGET: 39.04, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 8, UE_ID: 230, CELL_SOURCE_ID: 10, CELL_TARGET_ID: 3, RSRP_SOURCE: -83.27, RSRP_TARGET: -74.15, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 26.67, SINR_TARGET: 37.88, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 8, UE_ID: 241, CELL_SOURCE_ID: 12, CELL_TARGET_ID: 3, RSRP_SOURCE: -94.13, RSRP_TARGET: -73.86, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 18.25, SINR_TARGET: 37.46, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 8, UE_ID: 291, CELL_SOURCE_ID: 10, CELL_TARGET_ID: 3, RSRP_SOURCE: -85.90, RSRP_TARGET: -72.72, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 22.37, SINR_TARGET: 36.21, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 9, UE_ID: 221, CELL_SOURCE_ID: 2, CELL_TARGET_ID: 1, RSRP_SOURCE: -55.28, RSRP_TARGET: -38.38, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 55.52, SINR_TARGET: 72.08, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 1
TIMESTAMP: 9, UE_ID: 251, CELL_SOURCE_ID: 3, CELL_TARGET_ID: 1, RSRP_SOURCE: -48.76, RSRP_TARGET: -35.01, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 61.71, SINR_TARGET: 75.11, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
TIMESTAMP: 9, UE_ID: 271, CELL_SOURCE_ID: 5, CELL_TARGET_ID: 1, RSRP_SOURCE: -85.58, RSRP_TARGET: -67.02, RSRQ_SOURCE: -3.00, RSRQ_TARGET: -3.00, SINR_SOURCE: 25.37, SINR_TARGET: 42.03, TIME_TO_TRIGGER: 8.00, A3_OFFSET: 8.00, HOF: 0
